tipo_sort ord_vetor tamanho_vetor n_comp n_mov tempo
QI5 OrdC 450000 2.24994e+06 449967 0.007667
QI5 OrdC 500000 2.49994e+06 499967 0.008033
QI5 OrdD 50000 199948 99966 0.0008955
QI5 OrdD 100000 399948 199966 0.0017525
QI5 OrdD 150000 599948 299966 0.0026295
QI5 OrdD 200000 799948 399966 0.0035035
QI5 OrdD 250000 999948 499966 0.00591
QI5 OrdD 300000 1.19995e+06 599966 0.007778
QI5 OrdD 350000 1.39995e+06 699966 0.0061785
QI5 OrdD 400000 1.59995e+06 799966 0.007614
QI5 OrdD 450000 1.79995e+06 899966 0.0090765
QI5 OrdD 500000 1.99995e+06 999966 0.010139
QI10 Ale 50000 4.25444e+07 4.25392e+07 0.138684
QI10 Ale 100000 1.67195e+08 1.67185e+08 0.513732
QI10 Ale 150000 3.88069e+08 3.88044e+08 1.26526
QI10 Ale 200000 6.76309e+08 6.76282e+08 2.19243
QI10 Ale 250000 1.05288e+09 1.05285e+09 3.73377
QI10 Ale 300000 1.47472e+09 1.47466e+09 4.8691
QI10 Ale 350000 2.13709e+09 2.13706e+09 6.98981
QI10 Ale 400000 2.71319e+09 2.71312e+09 9.10456
QI10 Ale 450000 3.46992e+09 3.46982e+09 10.8017
QI10 Ale 500000 4.34159e+09 4.34151e+09 14.3452
QI10 OrdC 50000 199974 49983 0.0006775
QI10 OrdC 100000 399974 99983 0.001371
QI10 OrdC 150000 599974 149983 0.0020505
QI10 OrdC 200000 799974 199983 0.002712
QI10 OrdC 250000 999974 249983 0.0038055
QI10 OrdC 300000 1.19997e+06 299983 0.005798
QI10 OrdC 350000 1.39997e+06 349983 0.006977
QI10 OrdC 400000 1.59997e+06 399983 0.0084255
QI10 OrdC 450000 1.79997e+06 449983 0.00908
QI10 OrdC 500000 1.99997e+06 499983 0.0069245
QI10 OrdD 50000 149978 99982 0.0007765
QI10 OrdD 100000 299978 199982 0.0015735
QI10 OrdD 150000 449978 299982 0.0023185
QI10 OrdD 200000 599978 399982 0.003042
QI10 OrdD 250000 749978 499982 0.0039615
QI10 OrdD 300000 899978 599982 0.006216
QI10 OrdD 350000 1.04998e+06 699982 0.0079575
QI10 OrdD 400000 1.19998e+06 799982 0.0075805
QI10 OrdD 450000 1.34998e+06 899982 0.006904
QI10 OrdD 500000 1.49998e+06 999982 0.0077095
